week,selected_stocks,gross_return,selected_count,entry_cost,exit_cost,total_cost,net_return,gross_equity,net_equity
2023-10-06,"BRK.B, V",0.0037902292390286085,2,0.001,0.001,0.002,0.0017902292390286085,1.5196607566695965,1.4038432704884145
2023-10-13,"BRK.B, JNJ",-0.0256462915911711,2,0.001,0.001,0.002,-0.0276462915911711,1.4806870937843883,1.3650322100841885
2023-10-20,"JNJ, MSFT",-0.019377026228690253,2,0.001,0.001,0.002,-0.021377026228690255,1.451995781131645,1.3358518807262116
2023-10-27,"MSFT, V",0.06610477835331896,2,0.001,0.001,0.002,0.06410477835331896,1.5479796404133066,1.4214863694530298
2023-11-03,"MSFT, JNJ",0.010396123892654652,2,0.001,0.001,0.002,0.008396123892654652,1.5640726285383504,1.4334213451226772
2023-11-10,"JNJ, META",0.018160322127944273,2,0.001,0.001,0.002,0.01616032212794427,1.5924766913041073,1.4565858958049307
2023-11-17,"V, JNJ",0.022619231808863494,2,0.001,0.001,0.002,0.020619231808863492,1.6284972907349267,1.4866195780400537
2023-11-24,"JPM, BRK.B",0.0030123235215895883,2,0.001,0.001,0.002,0.0010123235215895882,1.6334028514286523,1.4881245180065592
2023-12-01,"V, BRK.B",-0.006971487238973617,2,0.001,0.001,0.002,-0.008971487238973617,1.6220156042938143,1.4747738278832596
2023-12-08,"V, BRK.B",0.009320379997820427,2,0.001,0.001,0.002,0.007320379997820427,1.6371334060882272,1.4855697327142054
2023-12-15,"V, MSFT",0.005967443803294836,2,0.001,0.001,0.002,0.003967443803294836,1.6469029076875554,1.4914636471446248
2023-12-22,"V, MSFT",0.005663620282480686,2,0.001,0.001,0.002,0.003663620282480686,1.656230340398811,1.4969278036128864
2023-12-29,"BRK.B, V",0.01125139712205625,2,0.001,0.001,0.002,0.00925139712205625,1.6748652456842363,1.5107764771871566
2024-01-05,"V, MSFT",0.036796927124020606,2,0.001,0.001,0.002,0.034796927124020605,1.736495140072234,1.5633468561645227
2024-01-12,"BRK.B, V",0.017371875260655534,2,0.001,0.001,0.002,0.015371875260655534,1.7666613170363032,1.5873784290266217
2024-01-19,"JPM, BRK.B",0.030866020619809587,2,0.001,0.001,0.002,0.028866020619809585,1.8211911216761656,1.6331997274903454
2024-01-26,"JNJ, V",0.008183015006541339,2,0.001,0.001,0.002,0.006183015006541339,1.8360939559546217,1.6432978259140976
2024-02-02,"JNJ, JPM",0.0012801360080273438,2,0.001,0.001,0.002,-0.0007198639919726562,1.8384444059417608,1.642114874981135
2024-02-09,"JPM, JNJ",0.01460651175475236,2,0.001,0.001,0.002,0.01260651175475236,1.8652976657676081,1.6628162154552386
2024-02-16,"V, JNJ",0.02594224056888661,2,0.001,0.001,0.002,0.023942240568886608,1.9136876665455342,1.7026277613075134
2024-02-23,"META, V",0.01809699099602813,2,0.001,0.001,0.002,0.016096990996028127,1.948319655016219,1.7300349450508679
2024-03-01,"JNJ, V",-0.013527967429031007,2,0.001,0.001,0.002,-0.015527967429031007,1.9219628501818187,1.7031710187730327
2024-03-08,"V, META",-0.01623677662645634,2,0.001,0.001,0.002,-0.01823677662645634,1.890756368699069,1.6721106693470147
2024-03-15,"V, JPM",0.016994066247400408,2,0.001,0.001,0.002,0.014994066247400408,1.9228880076864352,1.6971824074961888
2024-03-22,"V, META",-0.03092723735501024,2,0.001,0.001,0.002,-0.03292723735501024,1.8634183938656141,1.641298879529814
2024-03-29,"JNJ, V",-0.021808015055319818,2,0.001,0.001,0.002,-0.02380801505531982,1.822780937477833,1.6022228110956886
2024-04-05,"V, JPM",-0.03925235937084909,2,0.001,0.001,0.002,-0.04125235937084909,1.7512324850656198,1.5361273399001971
2024-04-12,"V, JPM",-0.0029637990634976963,2,0.001,0.001,0.002,-0.004963799063497696,1.7460421838664157,1.5285023124489874
2024-04-19,"V, TSLA",0.0810051599310262,2,0.001,0.001,0.002,0.07900515993102619,1.8874806102168329,1.649261882098963
2024-04-26,"BRK.B, V",-0.012512227059044145,2,0.001,0.001,0.002,-0.014512227059044145,1.8638640242522568,1.6253274191861165
2024-05-03,"V, BRK.B",0.03675734208609416,2,0.001,0.001,0.002,0.034757342086094156,1.9323747117936614,1.6818194802966766
2024-05-10,"JNJ, BRK.B",0.02170987830595572,2,0.001,0.001,0.002,0.01970987830595572,1.974326331628208,1.7149679375859097
2024-05-17,"JNJ, META",-0.014272691689496408,2,0.001,0.001,0.002,-0.01627269168949641,1.946147380602424,1.6870607930802026
2024-05-24,"V, MSFT",-0.02116799027703198,2,0.001,0.001,0.002,-0.02316799027703198,1.9049513517721608,1.6479749850293586
2024-05-31,"V, BRK.B",0.01057568826985189,2,0.001,0.001,0.002,0.00857568826985189,1.9250975234377363,1.6621075047774845
2024-06-07,"V, BRK.B",-0.02425772826220801,2,0.001,0.001,0.002,-0.026257728262208013,1.878399030835934,1.6184643375744605
2024-06-14,"JNJ, BRK.B",0.016058194624364308,2,0.001,0.001,0.002,0.014058194624364308,1.9085627280553146,1.641217024224675
2024-06-21,"BRK.B, JNJ",-0.01214802489284511,2,0.001,0.001,0.002,-0.01414802489284511,1.8853774605253422,1.6179970449113832
2024-06-28,"JNJ, BRK.B",0.006465876354093014,2,0.001,0.001,0.002,0.004465876354093014,1.897568078065893,1.6252228196552454
2024-07-05,"JNJ, BRK.B",0.027742548310056292,2,0.001,0.001,0.002,0.02574254831005629,1.950211452143257,1.6670601966048262
2024-07-12,"JNJ, JPM",0.027854527509305838,2,0.001,0.001,0.002,0.025854527509305836,2.0045336706859445,1.7101612503176145
2024-07-19,"JNJ, TSLA",-0.021319780418052603,2,0.001,0.001,0.002,-0.023319780418052605,1.9617974529863271,1.6702806654807454
2024-07-26,"TSLA, JPM",-0.058454605420042216,2,0.001,0.001,0.002,-0.06045460542004222,1.8471213569579676,1.5693045069083813
2024-08-02,"BRK.B, TSLA",-0.014603188440311332,2,0.001,0.001,0.002,-0.016603188440311334,1.820147495710187,1.5432490484599517
2024-08-09,"BRK.B, AAPL",0.03816051958775968,2,0.001,0.001,0.002,0.036160519587759676,1.8896052698728474,1.5990537359055792
2024-08-16,"BRK.B, JNJ",0.02484645498471927,2,0.001,0.001,0.002,0.022846454984719267,1.9365552621496316,1.635586445101093
2024-08-23,"V, JNJ",0.02580068230508359,2,0.001,0.001,0.002,0.023800682305083587,1.986519709234592,1.6745145184634451
2024-08-30,"GOOGL, V",-0.03270447921553493,2,0.001,0.001,0.002,-0.034704479215534934,1.921551616692679,1.616401364161319
2024-09-06,"JNJ, V",0.01774969959012107,2,0.001,0.001,0.002,0.01574969959012107,1.9556585806358857,1.6418592000639216
2024-09-13,"JNJ, BRK.B",0.004493065220431525,2,0.001,0.001,0.002,0.0024930652204315246,1.9644454821875794,1.6459524621324466
2024-09-20,"JNJ, V",-0.02526225429672052,2,0.001,0.001,0.002,-0.027262254296720523,1.914819160864513,1.6010800875494786
2024-09-27,"JNJ, AAPL",-0.00561167655522643,2,0.001,0.001,0.002,-0.00761167655522643,1.9040738150719914,1.5888931837840383
2024-10-04,"AAPL, V",0.0014916598942909531,2,0.001,0.001,0.002,-0.0005083401057090469,1.9069140456177036,1.5880854856550333
2024-10-11,"V, AAPL",0.039368677797513185,2,0.001,0.001,0.002,0.03736867779751318,1.9819867302671796,1.6474301404833833
2024-10-18,"AAPL, BRK.B",-0.019245427877010612,2,0.001,0.001,0.002,-0.021245427877010614,1.9438425475966303,1.61242978225133
2024-10-25,"JNJ, AAPL",-0.02069662900930852,2,0.001,0.001,0.002,-0.022696629009308522,1.903611559536514,1.5758330616800116
2024-11-01,"JNJ, BRK.B",-0.002087699646386554,2,0.001,0.001,0.002,-0.004087699646386554,1.8996373903568122,1.569391529431018
2024-11-08,"BRK.B, TSLA",0.006634154424671357,2,0.001,0.001,0.002,0.004634154424671357,1.912239878155319,1.5766643321311724
2024-11-15,"JNJ, AAPL",0.014620909373840973,2,0.001,0.001,0.002,0.012620909373840973,1.9401985641148725,1.5965632697799674
2024-11-22,"TSLA, JNJ",-0.007002470788924464,2,0.001,0.001,0.002,-0.009002470788924464,1.9266123803449449,1.5821902555811036
2024-11-29,"TSLA, JNJ",0.04543957431127632,2,0.001,0.001,0.002,0.04343957431127632,2.014156826770654,1.6509199267629961
2024-12-06,"TSLA, BRK.B",0.047000006033340536,2,0.001,0.001,0.002,0.045000006033340534,2.108822209780969,1.725211333427893
2024-12-13,"V, JPM",-0.00015806303052900983,2,0.001,0.001,0.002,-0.00215806303052901,2.108488882951644,1.7214882186293725
2024-12-20,"TSLA, JNJ",0.01459463160344876,2,0.001,0.001,0.002,0.01259463160344876,2.1392615014382907,1.7431697285526868
2024-12-27,"BRK.B, JNJ",-0.0061955020297318475,2,0.001,0.001,0.002,-0.008195502029731848,2.1260077024640025,1.7288835775041662
2025-01-03,"JNJ, V",-0.018817962423315182,2,0.001,0.001,0.002,-0.020817962423315184,2.0860005694073562,1.692891744153398
2025-01-10,"JNJ, JPM",0.057701860983400355,2,0.001,0.001,0.002,0.05570186098340035,2.2063666842745935,1.7871889647461767
2025-01-17,"MSFT, V",0.03406723486899155,2,0.001,0.001,0.002,0.032067234868991545,2.2815314963148943,1.844499173033962
2025-01-24,"JNJ, V",0.0357166067933582,2,0.001,0.001,0.002,0.033716606793358195,2.3630200596554354,1.9066894263818226
2025-01-31,"JNJ, META",0.021571801977486205,2,0.001,0.001,0.002,0.019571801977486203,2.41399466045115,1.9440067742675344
2025-02-07,"JNJ, TSLA",0.0019024260198686749,2,0.001,0.001,0.002,-9.757398013132516e-05,2.418587106705016,1.943817089789167
2025-02-14,"JNJ, META",-0.012201622634305853,2,0.001,0.001,0.002,-0.014201622634305853,2.389076419520804,1.9162117330098667
2025-02-21,"V, BRK.B",0.05699092023969876,2,0.001,0.001,0.002,0.05499092023969876,2.5252320831922592,2.0215859795821873
2025-02-28,"TSLA, MSFT",-0.056361948261245465,2,0.001,0.001,0.002,-0.058361948261245467,2.38290508317174,1.9036022832361525
2025-03-07,"TSLA, MSFT",-0.030194292768637776,2,0.001,0.001,0.002,-0.03219429276863778,2.3109549494505774,1.8423171540146004
2025-03-14,"TSLA, MSFT",0.000934208259014746,2,0.001,0.001,0.002,-0.001065791740985254,2.313113862650565,1.8403536276075763
2025-03-21,"JNJ, MSFT",-0.015678476058278823,2,0.001,0.001,0.002,-0.017678476058278825,2.2768477623349255,1.807818980063149
2025-03-28,"JNJ, MSFT",-0.05700374173848033,2,0.001,0.001,0.002,-0.05900374173848033,2.1470589205129484,1.7011508958535801
2025-04-04,"META, AMZN",0.07903152886557063,2,0.001,0.001,0.002,0.07703152886557063,2.316744269565548,1.8321931501922166
2025-04-11,"BRK.B, TSLA",-0.027308239446019844,2,0.001,0.001,0.002,-0.029308239446019846,2.2534780623170576,1.7784947946350258
2025-04-18,"TSLA, META",0.13593116574598418,2,0.001,0.001,0.002,0.13393116574598418,2.559795962310817,2.0166906757536593
2025-04-25,"BRK.B, AAPL",-0.001064795254948625,2,0.001,0.001,0.002,-0.003064795254948625,2.557070303716512,2.0105099317399104
2025-05-02,"JPM, JNJ",-0.004956385030370325,2,0.001,0.001,0.002,-0.006956385030370325,2.5443964787415667,1.996524050547344
2025-05-09,"V, TSLA",0.10540487390079756,2,0.001,0.001,0.002,0.10340487390079756,2.8125882687369548,2.2029743682341016
2025-05-16,"JNJ, META",-0.005050038443212557,2,0.001,0.001,0.002,-0.007050038443212557,2.7983845898549045,2.1874433142486396
2025-05-23,"META, JNJ",0.02806170599804092,2,0.001,0.001,0.002,0.026061705998040918,2.8769120354848616,2.2444518187919678
